Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type
TMDX,TRANSMEDICS GROUP INC,110,$29.57 ,$1.06 ,3.72%,"$3,252.70 ",$116.60 ,3.72%,"$1,498.20 ","$1,754.50 ",117.11%,No,--,0.0204,N/A,N/A,N/A,-26.9,$11.51 ,$49.50 ,"303,712",--,--,Equity
UL,UNILEVER PLC F SPONSORED ADR 1 ADR REPS 1 ORD SHS,46,$60.60 ,($0.24),-0.39%,"$2,787.60 ",($11.04),-0.39%,"$2,466.41 ",$321.19 ,13.02%,No,--,0.0174,3.30%,$0.52 ,5/20/21,23.49,$51.98 ,$63.89 ,"1,333,949",--,--,Equity
U,UNITY SOFTWARE INC,21,$96.84 ,($1.25),-1.27%,"$2,033.64 ",($26.25),-1.27%,"$1,981.56 ",$52.08 ,2.63%,No,--,0.0127,N/A,N/A,N/A,-56.05,$65.11 ,$174.94 ,"2,751,864",--,--,Equity
V,VISA INC CLASS A,7,$229.60 ,($3.38),-1.45%,"$1,607.20 ",($23.66),-1.45%,$990.69 ,$616.51 ,62.23%,No,--,0.0101,0.50%,$0.32 ,5/13/21,48.14,$179.23 ,$237.50 ,"8,905,398",--,--,Equity
WMT,WALMART INC,40,$137.15 ,($2.85),-2.04%,"$5,486.00 ",($114.00),-2.04%,"$3,938.95 ","$1,547.05 ",39.28%,No,--,0.0343,1.60%,$0.55 ,8/12/21,32.41,$117.66 ,$153.66 ,"9,598,343",--,--,Equity
DRIV,GLOBAL X AUTONOM ELECTRIC VEHICL ETF,95,$27.92 ,($0.28),-0.99%,"$2,652.40 ",($26.60),-0.99%,"$2,498.76 ",$153.64 ,6.15%,No,--,0.0166,0.20%,$0.02 ,12/30/20,--,$13.95 ,$28.91 ,"301,851",--,--,ETFs & Closed End Funds
SDIV,GLOBAL X SUPERDIVIDEND ETF,201.1941,$14.42 ,($0.15),-1.03%,"$2,901.22 ",($30.18),-1.03%,"$2,899.60 ",$1.62 ,0.06%,Yes,--,0.0182,6.50%,$0.09 ,6/3/21,--,$10.43 ,$14.75 ,"673,361",--,--,ETFs & Closed End Funds
EEM,ISHARES MSCI EMERGING MARKETS ETF IV,59,$54.31 ,($0.75),-1.36%,"$3,204.29 ",($44.25),-1.36%,"$2,977.16 ",$227.13 ,7.63%,No,--,0.0201,1.40%,$0.24 ,6/10/21,--,$39.25 ,$58.29 ,"44,138,309",--,--,ETFs & Closed End Funds
IDRV,ISHARES SELF DRIVING EV TCH ETF IV,54,$48.71 ,($0.45),-0.92%,"$2,630.34 ",($24.30),-0.92%,"$2,486.70 ",$143.64 ,5.78%,No,--,0.0165,0.60%,$0.20 ,6/10/21,--,$27.19 ,$49.67 ,"49,107",--,--,ETFs & Closed End Funds
Cash & Cash Investments,--,--,--,--,--,"$15,059.03 ",$36.72 ,0.24%,--,--,--,--,--,0.0942,--,--,--,--,--,--,--,--,--,Cash and Money Market
Account Total,--,--,--,--,--,"$159,814.30 ",($751.06),-0.47%,"$112,101.75 ","$32,653.52 ",29.13%,--,--,--,--,--,--,--,--,--,--,,,
